questions,domain
What are bruises?,"accident, first aid"
How do I clean a wound?,"accident, first aid"
What should I keep in my first aid kit?,"accident, first aid"
How do I apply plasters and other dressings?,"accident, first aid"
How do I apply a bandage?,"accident, first aid"
Does my cut need stitches?,"accident, first aid"
How do I apply butterfly stitches?,"accident, first aid"
How should I care for my stitches?,"accident, first aid"
Can I get my stitches wet in the bath or shower?,"accident, first aid"
How long will my stitches (sutures) take to dissolve?,"accident, first aid"
How do I care for a wound treated with skin glue?,"accident, first aid"
How do I take a temperature?,"accident, first aid"
How do I check my pulse?,"accident, first aid"
How do I check someone's pulse?,"accident, first aid"
How do I know if I've broken a bone?,"accident, first aid"
How should I care for my plaster cast?,"accident, first aid"
How should I dispose of used needles or sharps?,"accident, first aid"
What should I do if I injure myself with a used needle?,"accident, first aid"
What should I do after contact with someone else's blood or saliva?,"accident, first aid"
What should I do if someone is choking?,"accident, first aid"
When can I fly after surgery?,"accident, first aid"
How long should I wear compression stockings to improve my circulation?,"accident, first aid"
Do I need a tetanus jab (vaccine) after an accident or injury?,"accident, first aid"
What is a food allergy?,allergy
What are the symptoms of a food allergy?,allergy
How are food allergies diagnosed?,allergy
How are food allergies treated?,allergy
What do I do now?,allergy
What is anal cancer?,cancer
How common is anal cancer?,cancer
Who does anal cancer affect?,cancer
What are the risk factors for anal cancer?,cancer
What causes anal cancer?,cancer
What are the symptoms of anal cancer?,cancer
How is anal cancer diagnosed?,cancer
What are the treatments for anal cancer?,cancer
What are the complications or side effects of anal cancer treatment?,cancer
How can you prevent anal cancer?,cancer
What is the prognosis / outlook for patients who have anal cancer?,cancer
When should you contact your healthcare provider with concerns about anal cancer?,cancer
Where can you find help if you have anal cancer?,cancer
What is a brain tumor?,cancer
How common are brain tumors?,cancer
Who is affected by brain tumors?,cancer
What are the types of brain tumors?,cancer
What causes a brain tumor?,cancer
What are the symptoms of a brain tumor?,cancer
How is a brain tumor diagnosed?,cancer
What are the treatments for a brain tumor?,cancer
What are the complications associated with a brain tumor?,cancer
How can you prevent a brain tumor?,cancer
Who is at risk of developing a brain tumor?,cancer
What's the outlook for people with a brain tumor?,cancer
When should I see a healthcare provider about a possible brain tumor?,cancer
What questions should I ask my doctor?,cancer
What is cancer?,cancer
What is cancer staging?,cancer
What are the causes of cancer?,cancer
What are the symptoms of cancer?,cancer
How is cancer diagnosed?,cancer
What are the treatments for cancer?,cancer
What are the side effects of cancer treatments?,cancer
What happens after my cancer treatment ends?,cancer
What other resources are available to deal with cancer?,cancer
What is leukemia?,cancer
What is bone marrow?,cancer
How does leukemia develop? How does leukemia affect the body?,cancer
Are there different types of leukemia?,cancer
How common is leukemia?,cancer
What causes leukemia?,cancer
Who gets leukemia? Are certain people at higher risk for developing leukemia?,cancer
Does leukemia run in families? Can leukemia be inherited?,cancer
What are the symptoms of leukemia?,cancer
How is leukemia diagnosed?,cancer
How is leukemia treated?,cancer
What are the stages of leukemia treatment?,cancer
What outcome can I expect if I have a diagnosis of leukemia?,cancer
Can leukemia be cured?,cancer
How often will I need to see my healthcare team after treatment?,cancer
What questions should I ask my doctor and healthcare team after I’ve been diagnosed with leukemia?,cancer
Are there clinical trials for leukemia?,cancer
Which of the following test is not used to detect prostate cancer?,cancer
When do I need a fit note?,"caring, carers"
Can I get a fit note without seeing a GP?,"caring, carers"
Can I go back to work before the end date on my fit note?,"caring, carers"
Can I speak to a GP about someone else's health?,"caring, carers"
Can I pick up a prescription for someone else?,"caring, carers"
How long do babies carry their mother's immunity?,children's health
What should I do if I think my baby is allergic or intolerant to cows' milk?,children's health
How much salt do babies and children need?,children's health
How can I keep my baby safe during hot weather?,children's health
Can my baby go swimming before or after vaccinations?,children's health
How many calories does a child of 7 to 10 need?,children's health
Should my child drink alcohol?,children's health
Can I give my child painkillers?,children's health
Can I give my child paracetamol and ibuprofen at the same time?,children's health
Can I give my child paracetamol or ibuprofen with cough or cold medicines?,children's health
How old do you have to be to buy medicine?,children's health
Can I stay with my child in hospital?,children's health
How many calories do teenagers need?,children's health
What is a kidney stone?,condition
What are the most common types of kidney stones?,condition
How does a kidney stone pass through my urinary tract?,condition
How long does it take to form a kidney stone?,condition
"If I have multiple kidney stones, are they all made of the same substances?",condition
Who is most likely to experience kidney stones?,condition
What are the risk factors for developing kidney stones?,condition
What are the signs and symptoms of kidney stones?,condition
How are kidney stones diagnosed?,condition
How are kidney stones treated?,condition
How long does it take to pass a kidney stone?,condition
Does cranberry juice help with kidney stones?,condition
Does apple cider vinegar help with kidney stones?,condition
Does lemon juice help with kidney stones?,condition
How can kidney stones be prevented?,condition
Should I cut calcium out of my diet if I develop calcium oxalate kidney stones?,condition
What other things can I eat or drink to prevent kidney stones?,condition
Should I drink soda and coffee if I have kidney stones?,condition
What is the outlook for kidney stones?,condition
Can a large kidney stone cause an injury?,condition
How long does pain last after you pass a kidney stone?,condition
What are hemorrhoids?,condition
How common are hemorrhoids?,condition
Who might get hemorrhoids?,condition
What are the types of hemorrhoids?,condition
What’s the difference between hemorrhoids and anal fissures?,condition
What causes hemorrhoids?,condition
What are the symptoms of hemorrhoids?,condition
What other conditions cause hemorrhoid-type symptoms?,condition
How are hemorrhoids diagnosed?,condition
What are the complications of hemorrhoids?,condition
How can I treat hemorrhoids at home?,condition
How do healthcare providers treat hemorrhoids?,condition
How can I prevent hemorrhoids?,condition
What is the prognosis (outlook) for people who have hemorrhoids?,condition
When should I call the doctor?,condition
What questions should I ask my doctor?,condition
What is asthma?,condition
Who is affected by asthma?,condition
What causes asthma?,condition
What are the most common asthma triggers?,condition
How is asthma diagnosed?,condition
How is asthma treated?,condition
What is the outlook for someone with asthma?,condition
What is an asthma action plan?,condition
What is coronavirus?,coronavirus
How many people are infected with COVID-19?,coronavirus
How does the new coronavirus (COVID-19) spread from person to person?,coronavirus
How long is a person infected with COVID-19 considered contagious?,coronavirus
How soon after becoming infected with COVID-19 will I develop symptoms?,coronavirus
Who is most at risk for getting COVID-19?,coronavirus
Have certain ethnic groups been harder hit by COVID-19?,coronavirus
"If I recover from a case of COVID-19, can I be infected again?",coronavirus
Where do coronaviruses come from?,coronavirus
What are the symptoms of the novel coronavirus (COVID-19) infection?,coronavirus
How is coronavirus diagnosed?,coronavirus
When should I be tested for the coronavirus (COVID-19)?,coronavirus
"If I have a positive test for coronavirus, how long should I self-isolate?",coronavirus
How long do I need to isolate myself if I’ve been around a person with COVID-19?,coronavirus
Is it possible to test negative for COVID-19 and still be infected with the virus?,coronavirus
What medications are currently approved to treat COVID-19?,coronavirus
What treatments do people receive if they have COVID-19?,coronavirus
What other medications have been given FDA emergency use approval for treating COVID-19?,coronavirus
What vaccines are in use or in late-stage development to prevent COVID-19?,coronavirus
"If I’ve tested positive for COVID-19 and do not need hospitalization, what can I do to best manage my symptoms at home?",coronavirus
How can I prevent getting the novel coronavirus (COVID-19)?,coronavirus
Should I wear a face mask?,coronavirus
Can pets catch the cold?,coronavirus
Is the Common Cold an Immune Overreaction?,coronavirus
Can Coronaviridae mutate into something as dangerous as Flioviridae?,coronavirus
How exactly does alcohol solution kill or neutralize viruses?,coronavirus
What are the environmental conditions for SARS-CoV-2 to survive?,coronavirus
Why would a 2019-nCoV protein sequence in the NCBI database match a protein submitted in 2018?,coronavirus
"How does a Coronavirus ""test kit"" work?",coronavirus
How are lipid-coated mRNA-based vaccines transported into cells for expression?,coronavirus
What is the size (diameter) of the SARS-CoV-2 virus?,coronavirus
Does the genetic sequence of SARS-CoV-2 end with 33 A's?,coronavirus
"Is COVID-19 claimed to get less deadly over time? If so, why?",coronavirus
How many times has SARS-CoV-2 mutated?,coronavirus
Ratio of bleach to water required to disinfect COVID-19?,coronavirus
What's the evidence against SARS-CoV-2 being engineered by humans?,coronavirus
Are all emerging viral diseases of the past 100 years zoonoses?,coronavirus
Does a higher body temperature slow the corona virus down?,coronavirus
Can COVID-19 affect a person a second time?,coronavirus
What gene targets associated with the new coronavirus (SARS-CoV-2) have been identified so far?,coronavirus
"Why don't anti-viral drugs like ""Acyclovir"" work against coronaviruses?",coronavirus
Where can I find the genome of the L-strain coronavirus and the S-strain coronavirus?,coronavirus
"Why does increased humidity decrease coronavirus ""survival""?",coronavirus
Is COVID-19 more deadly than swine flu?,coronavirus
Can you be infected by two coronaviruses at once?,coronavirus
How are antibodies specific for a disease detected in the blood if everybody produces a different antibody for the same antigen?,coronavirus
Can you be immune to a coronavirus?,coronavirus
Are there any documented instances of coronaviruses being directly transmitted from bats to humans?,coronavirus
Roughly speaking how stable are short sections of single-stranded RNA in exposed environments compared to double-stranded DNA?,coronavirus
is it possible to visualize coronavirus infection and what type of assays are routinely used?,coronavirus
What are the difficulties/challenges against developing a coronavirus vaccine?,coronavirus
Can someone donate antibodies?,coronavirus
Can an infectious diseases come from a plant?,coronavirus
Is touching or inhaling 70% isopropyl alcohol dangerous to humans?,coronavirus
Has there even been a clinical study where healthy volunteers consented to be infected with a pathogen?,coronavirus
Why don't we build up an immunity to sore throat?,coronavirus
What's the purpose of segregating a virus from the blood and growing it in the lab?,coronavirus
Is it possible to artificially induce a 40å¡C fever in a controlled and safe manner?,coronavirus
Can coronavirus contaminate public water systems?,coronavirus
How to obtain virus samples?,coronavirus
Do Angiotensin II Receptor Blockers (ARBs) or other factors control the level of ACE2 expression? [coronavirus receptor],coronavirus
How do wild animals get rabies?,coronavirus
What percentage of individuals infected with COVID-19 don't have symptoms?,coronavirus
Can stomach acid destroy a virus?,coronavirus
Is Covid-19 likely to mutate into a deadlier form?,coronavirus
How is the protease inhibited by lopinavir different in SARS-CoV-2 compared to SARS-CoV?,coronavirus
Are virus strains different viruses?,coronavirus
Will there ever be a universal vaccine for the common cold?,coronavirus
Does COVID-19 have a case fatality rate of 41%? Is this formula correct?,coronavirus
What are the actual symptoms of the common cold?,coronavirus
Did I catch a cold from eating unwashed fruit?,coronavirus
Is Coronavirus transmission affected by the season of the host country / hemisphere?,coronavirus
Are motorcycle helmets effective in preventing Corona?,coronavirus
What protects Chinese provinces other than Hubei from COVID-19 outbreak?,coronavirus
Why getting off the transport where person has coughed is not going to help?,coronavirus
Is Coronavirus (Covid-19) considered a pandemic?,coronavirus
Will 70% isopropyl alcohol deactivate i.e. kill COVID-19?,coronavirus
Can the Coronavirus be spread via public toilet seats?,coronavirus
How can immunity be developed without a vaccine? (re Merkel's speech),coronavirus
How accurate are coronavirus tests?,coronavirus
Is the washing hands in order to protect yourself from COVID-19 backed up by research?,coronavirus
Do vaccines slow the spread of disease or do they reduce the severity of the disease?,coronavirus
Why are virus all destructive in nature?,coronavirus
Could an infinitesimal amount of Covid-19 be used to trigger immune response?,coronavirus
Is there a way to test for covid 19 after recovery?,coronavirus
Could increased testing for COVID-19 slow its spread enough to allow the relaxation of social distancing measures?,coronavirus
Why do corticosteroids harm COVID-19 patients?,coronavirus
How would the tuberculosis vaccine (BCG) decrease severity of COVID-19?,coronavirus
Does microwave kill coronavirus?,coronavirus
Is there any upside of using N95 masks instead of N99 or N100 to protect against COVID-19?,coronavirus
Why is a (simple) mask not recommended for asymptomatic COVID-19 patients?,coronavirus
Can SARS-CoV-2 be a potential cause for Guillain-BarrÌ© syndrome?,coronavirus
With regard to COVID-19 what happens to droplets after coughing or sneezing?,coronavirus
Would the human seasonal coronaviruses be just as deadly as COVID-19 in a population with no prior immunity?,coronavirus
"If I get COVID-19, can I still drink coffee?",coronavirus
Is there a way to catch the SARS-COV-2 virus safely? (as in a poor man's vaccine),coronavirus
Why are dermatologists working on coronavirus cases?,coronavirus
How mutable is COVID-19?,coronavirus
Why are people so worried about 2019-nCoV?,coronavirus
Who came up with the SARS-CoV-2 name?,coronavirus
"Having tested positive for COVID-19, will future tests be positive?",coronavirus
Why are there disproportionate deaths from new York to Washington?,coronavirus
Why are people with COVID-19 symptoms being denied tests in the US?,coronavirus
Why has the African region not seen many Covid-19 cases so far?,coronavirus
Why does COVID-19 appear more infectious than SARS?,coronavirus
Which tests for Coronavirus/COVID19 are available and why seem they be so different?,coronavirus
Why is the Seegene COVID molecular genetic test not approved by the FDA?,coronavirus
Self quarantine for travel in Europe?,coronavirus
How does a sanding mask compare with a disposable medical mask?,coronavirus
Is there an estimate of how many people infected with SARS-CoV-2 are asymptomatic?,coronavirus
Would a COVID-19 controlled burn facilitate herd immunity?,coronavirus
How effective are bleach or ozonated water at killing covid19?,coronavirus
Can oseltamivir shorten the duration of COVID-19 and inhibit replication and transmission of the SARS-CoV-2 (2019-nCoV) virus?,coronavirus
Are there reliable studies on the viability of the SARS-CoV-2 virus with respect to temperature?,coronavirus
"If I get covid-19, can I get cured by myself?",coronavirus
Can CPAP devices connected with oxygen sources be used as ventilators?,coronavirus
ACE2 Inhibition as therapeutic candidate?,coronavirus
What is the best protocol and criteria or policy for COVID-19 novel coronavirus testing?,coronavirus
What percentage of otherwise asymptomatic covid-19 cases are presenting just with anosmia?,coronavirus
Can bedbugs transmit the COVID-19 virus from person to person?,coronavirus
When could chloroquine and hydroxychloroquine be widely available for Covid-19 treatment?,coronavirus
How long can SARS-CoV-2 persist on surfaces?,coronavirus
Why recovered patients develop lung disease due Covid-19?,coronavirus
What's the best time of year to purposely contract COVID?,coronavirus
Why doesn't WHO think wearing mask is protection measure for COVID-19?,coronavirus
Why don't we take a random sample of the population to estimate the amount of COVID-19 cases?,coronavirus
How likely is it to develop pneumonia as a result of COVID-19?,coronavirus
What are the recommendations for interacting with vulnerable people during the COVID-19 pandemic?,coronavirus
Would symptoms differ from eating virus contaminated food versus breathing in virus?,coronavirus
Does bleach have to be diluted to be more effective to kill virus?,coronavirus
Has the Covid-19 prevalence study on entire population of VÌ_ been formally published somewhere?,coronavirus
How does SARS-CoV-2 spread from cell to cell in the lung?,coronavirus
What is the main way COVID-19 spreads?,coronavirus
Is it possible to get Covid-19 and have 0 symptoms along the complete journey and hence cure by yourself without knowing?,coronavirus
"Is it possible that COVID-19 virus exist in a human body, but be absent from samples taken from nose and back of throat?",coronavirus
Can Ultrasound be a possible solution to treat COVID-19 virus?,coronavirus
How is Lopinavir + Ritonavir expected to stop COVID-19?,coronavirus
How quickly would boiling water kill coronavirus?,coronavirus
"Is there a virus from which humans can recover, but which doesn't grant long lasting immunity?",coronavirus
When can mechanical ventilation be performed without intubation?,coronavirus
What happens to viruses that causes them to die?,coronavirus
How can I clean an anesthesia machine after a Covid-19 patient?,coronavirus
Can COVID-19 be damaging lung without showing fever?,coronavirus
"If someone catches COVID-19 in a country where the number of deaths and new infections are slowing, would their symptoms be milder?",coronavirus
"Are the conclusions in ""The proximal origin of SARS-CoV-2"" legit?",coronavirus
"A new paper suggests the Corona Virus has ""Uncanny similarity of unique inserts in the 2019-nCoV spike protein to HIV-1"" - What does this mean?",coronavirus
Is it possible for coronavirus or SARS to be synthetic?,coronavirus
"Calculating the mortality rate of a pandemic, e.g. coronavirus 2019-nCov?",coronavirus
"Why does the FASTA sequence for coronavirus look like DNA, not RNA?",coronavirus
Coronavirus RNA structures?,coronavirus
Why doesn't water wash off the coronavirus alone?,coronavirus
Is there a way to calculate the riskiest places to be infected by COVID-19?,coronavirus
Mother milk of 6 Corona-positive (COVID-19) women does not contain the virus - can we make a confidence statement about this?,coronavirus
Gyms nationawide are closed due to COVID-19. What is the best way to continue training for a powerlifting competition?,coronavirus
How to get 5-year-old to consistently cover mouth when couging?,coronavirus
How does COVID-19 spread?,coronavirus
What are the symptoms of COVID-19?,coronavirus
How do I know if it is COVID-19 or just the common flu?,coronavirus
Can the virus that causes COVID-19 be transmitted through the air?,coronavirus
What can I do to protect myself and prevent the spread of disease?,coronavirus
I am well and asymptomatic. Should I use a mask?,coronavirus
How likely am I to catch COVID-19?,coronavirus
Are pregnant women more susceptible to the COVID-19 virus and will it harm the fetus?,coronavirus
What is the risk of my child becoming sick with COVID-19?,coronavirus
Are the symptoms of COVID-19 different in children than in adults?,coronavirus
Should I worry about COVID-19?,coronavirus
Who is at risk of developing severe illness?,coronavirus
Are antibiotics effective in preventing or treating COVID-19?,coronavirus
Are there any medicines or therapies that can prevent or cure COVID-19?,coronavirus
"Is there a vaccine, drug or treatment for COVID-19?",coronavirus
Should I wear a mask to protect myself from catching the COVID-19 virus?,coronavirus
Until when should I wear a mask after recovering from an illness with respiratory symptoms?,coronavirus
I am looking after someone who is ill with suspect or confirmed COVID-19. What precautions should I take?,coronavirus
How long is the incubation and transmission period for COVID-19?,coronavirus
Can humans become infected with the COVID-19 from an animal source?,coronavirus
How long does the virus survive on surfaces?,coronavirus
How can I get tested for COVID-19?,coronavirus
What alternatives do I have if there are no hand sanitizers available?,coronavirus
Can people who recover from COVID-19 be infected again?,coronavirus
Is it safe to receive a package from an area where COVID-19 has been reported?,coronavirus
Is there a connection between COVID -19 and environment temperature?,coronavirus
"Can I catch the virus from being in an enclosed space (i.e. bus, subway) in close proximity to someone who doesn't have respiratory symptoms?",coronavirus
Should I start avoiding people of Asian descent and their businesses?,coronavirus
"When should we identify ourselves as ""being sick"" and stay at home?",coronavirus
What can we do if we don't have any hand sanitizers in the office building?,coronavirus
What is the process for evaluating the criticality of official travels and meetings?,coronavirus
Does the UN have any specific guidelines for meeting / mass gathering organizers andparticipants during the COVID-19 outbreak?,coronavirus
I plan to travel to / have a meeting in countries or territories currently experiencinglocal transmission of COVID-19. Should I cancel this travel/meeting?,coronavirus
"What is the protocol for staff members returning to work after visiting COVID-19 affected countries (i.e., those with ongoing transmission)?",coronavirus
I just returned from travel to a country/area experiencing local transmission of COVID-19. I am well and have no symptoms. Can I go back to the workplace?,coronavirus
What about self-quarantining after returning from an area/country of high prevalence?,coronavirus
Have medical insurance related questions?,coronavirus
What are the latest protocols and guidance for Medical Evacuation of staff members with severe respiratory infections related to COVID-19?,coronavirus
Can CoVID-19 be caught from a person who has no symptoms,coronavirus
How likely am I to catch COVID-,coronavirus
Is COVID-19 the same as SARS,coronavirus
How to put on use take off and dispose of a mask,coronavirus
How long is the incubation period for COVID-,coronavirus
Can humans become infected with the COVID-19 from an animal source,coronavirus
Can I catch COVID-19 from my pet,coronavirus
Is there anything I should not do?,coronavirus
Will warm weather stop the outbreak of COVID-19?,coronavirus
What is community spread?,coronavirus
Can mosquitoes or ticks spread the virus that causes COVID-19?,coronavirus
"Why is the disease being called coronavirus disease 2019, COVID-19?",coronavirus
Is it okay for me to donate blood?,coronavirus
"Am I at risk for COVID-19 from mail, packages, or products?",coronavirus
Should I use soap and water or hand sanitizer to protect against COVID-19?,coronavirus
Can someone test negative and later test positive on a viral test for COVID-19?,coronavirus
How can I prepare for COVID-19 at work?,coronavirus
Should I be tested for a current infection?,coronavirus
What will happen with my personal information during contact tracing?,coronavirus
Who is considered a close contact to someone with COVID-19?,coronavirus
Am I considered a close contact if I was wearing a mask?,coronavirus
"Can I get COVID-19 from food (including restaurant take-out, produce, refrigerated, or packaged food) or drinking water?",coronavirus
Can the virus that causes COVID-19 spread through treated drinking water?,coronavirus
Is the virus that causes COVID-19 found in feces (stool)?,coronavirus
Can the COVID-19 virus spread through sewerage systems?,coronavirus
Should wastewater workers take extra precautions to protect themselves from the virus that causes COVID-19?,coronavirus
Can the virus that causes COVID-19 spread to people through the water in saltwater pools?,coronavirus
Which foods cause tooth decay?,dental health
Why should I use dental floss?,dental health
Why should I use interdental brushes?,dental health
"What are dentures, bridges, veneers and dental implants made of?",dental health
How much will I pay for NHS dental treatment?,dental health
How do I complain about my dental treatment?,dental health
What is gastritis?,digestive issues
What’s the difference between gastritis and indigestion?,digestive issues
How common is gastritis?,digestive issues
Who might get gastritis?,digestive issues
What are the types of gastritis?,digestive issues
What causes gastritis?,digestive issues
What are the symptoms of gastritis?,digestive issues
Is gastritis contagious?,digestive issues
How is gastritis diagnosed?,digestive issues
How is gastritis treated?,digestive issues
What are the complications of gastritis?,digestive issues
How can I prevent gastritis?,digestive issues
What is the prognosis (outlook) for people with gastritis?,digestive issues
When should I call the doctor?,digestive issues
What questions should I ask my doctor?,digestive issues
When should you seek medical attention for abnormal menstruation (periods)?,diseases
What are the symptoms of abnormal sense of taste and smell?,diseases
What causes abnormal sense of taste and smell?,diseases
How are these diseases diagnosed?,diseases
What are the treatments of taste and smell disorders?,diseases
What is acne?,diseases
Who does acne affect?,diseases
Where does acne most commonly occur?,diseases
What are the different types of acne?,diseases
What causes acne?,diseases
Does chocolate cause acne?,diseases
Why do so many teenagers get acne?,diseases
Do certain foods cause acne?,diseases
Can acne cause scars?,diseases
How is acne diagnosed?,diseases
How severe can acne get?,diseases
How is acne treated?,diseases
Do I need to see a specialist?,diseases
What should I do while waiting to see a dermatologist?,diseases
Can acne be prevented?,diseases
What can I expect if I’ve been diagnosed with acne?,diseases
Are there any special concerns for women of childbearing age with acne?,diseases
When should I see my healthcare provider about my acne?,diseases
What questions should I ask my healthcare provider about acne?,diseases
What is alcohol intolerance?,diseases
How common is alcohol intolerance?,diseases
Is alcohol intolerance the same as an alcohol allergy?,diseases
Is alcohol intolerance the same as being intoxicated?,diseases
Who might have alcohol intolerance?,diseases
What causes alcohol intolerance?,diseases
What are symptoms of alcohol intolerance?,diseases
How is alcohol intolerance diagnosed?,diseases
Is there a cure for alcohol intolerance?,diseases
How is alcohol intolerance treated?,diseases
How can I prevent alcohol intolerance?,diseases
Can I continue to drink alcohol if I have alcohol intolerance?,diseases
How long will I have alcohol intolerance?,diseases
How can I learn to live with alcohol intolerance?,diseases
What is alopecia areata?,diseases
Who gets alopecia areata?,diseases
What are the causes and symptoms of alopecia areata?,diseases
How is alopecia areata treated?,diseases
What is alopecia areata?,diseases
Who gets alopecia areata?,diseases
What are the causes and symptoms of alopecia areata?,diseases
How is alopecia areata treated?,diseases
What is chickenpox?,diseases
How is chickenpox spread?,diseases
What are the symptoms of chickenpox?,diseases
How is chickenpox diagnosed?,diseases
How can I help my child get well?,diseases
What if my baby gets chickenpox?,diseases
What complications are possible with chickenpox?,diseases
Who is more likely to have complications from chickenpox?,diseases
Can my child get a shot to prevent chickenpox?,diseases
What should I know about the chickenpox vaccine?,diseases
Who should not get the chickenpox vaccine?,diseases
Can adults get chickenpox?,diseases
What are shingles?,diseases
Is there a vaccine for shingles?,diseases
Who should be vaccinated with Shingrix?,diseases
Who should not be vaccinated with Shingrix?,diseases
When should you call your healthcare provider if your child has chickenpox?,diseases
When can my child go back to school?,diseases
Where can I learn more about chickenpox and vaccines?,diseases
What is dementia?,diseases
Who gets dementia?,diseases
What are the types of dementia?,diseases
What causes dementia?,diseases
What are the symptoms of dementia?,diseases
How is dementia diagnosed?,diseases
Is dementia treatable?,diseases
What medications are available to treat dementia?,diseases
Can dementia be prevented?,diseases
When should you see your doctor?,diseases
What is Ebola?,diseases
How do you get Ebola?,diseases
What are the symptoms of Ebola?,diseases
How is Ebola diagnosed?,diseases
How is Ebola treated?,diseases
Can Ebola be cured?,diseases
Are there long-term effects of Ebola?,diseases
When should I get medical care?,diseases
What is malaria?,diseases
How common is malaria?,diseases
Where does malaria usually occur?,diseases
Who might get malaria?,diseases
What causes malaria?,diseases
What are the symptoms of malaria?,diseases
How is malaria diagnosed?,diseases
How is malaria treated?,diseases
What are the side effects of medications to treat malaria?,diseases
Can I prevent malaria?,diseases
What is the outlook for people who have malaria?,diseases
When should I see my healthcare provider about malaria?,diseases
What is rabies?,diseases
What are the symptoms of rabies?,diseases
How is rabies treated?,diseases
How dangerous is rabies if it is not treated?,diseases
Is the rabies vaccine safe?,diseases
How can I prevent rabies?,diseases
What other steps can I take to reduce the chance of exposure to rabies?,diseases
What are the immediate steps I need to take in case of an animal bite?,diseases
What is the thyroid?,diseases
What does the thyroid do?,diseases
What is thyroid disease?,diseases
Who is affected by thyroid disease?,diseases
What causes thyroid disease?,diseases
Is there a higher risk of developing thyroid disease if I have diabetes?,diseases
What common symptoms can happen with thyroid disease?,diseases
Can thyroid issues make me lose my hair?,diseases
Can thyroid issues cause seizures?,diseases
How is thyroid disease diagnosed?,diseases
How is thyroid disease treated?,diseases
Are there different types of thyroid removal surgery?,diseases
How long does it take to recover from thyroid surgery (thyroidectomy)?,diseases
How long after my thyroid is removed will my tiredness go away?,diseases
"If part of my thyroid is surgically removed, will the other part be able to make enough thyroid hormones to keep me off of medication?",diseases
Can I check my thyroid at home?,diseases
Should I exercise if I have a thyroid disease?,diseases
Can I live a normal life with a thyroid disease?,diseases
What are the predisposing factors of stroke (cerebrovascular disease) in humans?,diseases
What are the symptoms of diabetes mellitus? What causes it?,diseases
What is the name of the specialist who deals with the diagnosis and treatment of cardiac disorders?,diseases
Which of the following is not a symptom of diabetes mellitus?,diseases
Why do diabetic patients often have cardiovascular disease?,diseases
Create a meal plan for someone who has celiac disease?,diseases
What is meant by the term acute coronary syndrome?,diseases
Clarice wants to assess her risk for coronary heart disease (CHD). Which of the following is a risk factor for CHD?,diseases
Which of the following are NOT risk factors for coronary heart disease?,diseases
Who would be most at risk for CHD when looking only at the type of work they do?,diseases
Is psoriasis of the liver hereditary?,diseases
What are the possible causes of asthma?,diseases
How does the term pharmacology differ from clinical pharmacology?,diseases
How does stress affect the heart's normal functioning?,diseases
What is the pathogenesis of diabetes?,diseases
What disorder is caused by inflammation of the facial nerve?,diseases
What are some current treatments for diabetes?,diseases
How common is gestational diabetes? How can it be diagnosed?,diseases
Is diabetes a viral disease?,diseases
Why is type 3c diabetes often mistaken for type 2 diabetes?,diseases
How beneficial is vigorous exercise for a diabetic person?,diseases
What are the two most common types of diabetes? How do they differ?,diseases
What is diabetes? How it is caused and what are its symptoms?,diseases
"When studying the disease process of asthma and treatment, what would be first-line medication for daily inhalers?",diseases
How would cardiac disease impact a patient's movement?,diseases
What kind of heart disease can an electrocardiogram not detect?,diseases
"What is role of IL4, IL5, and IL13 in development of asthma and worsening asthmatic symptoms?",diseases
What is seasonal influenza (flu)?,flu
How does CDC monitor the progress of the flu season?,flu
Can I get vaccinated and still get the flu?,flu
Are there new recommendations for the 2019-2020 influenza season?,flu
Will this season’s vaccine be a good match for circulating viruses?,flu
How much influenza vaccine is projected to be available for the 2019-2020 influenza season?,flu
What are the benefits of flu vaccination?,flu
Can the flu vaccine give me the flu?,flu
What kinds of flu vaccines are available?,flu
Who should get vaccinated this season?,flu
Who should not be vaccinated against seasonal flu?,flu
Why should I get my child vaccinated?,flu
When should I get vaccinated?,flu
Where can I get a flu vaccine?,flu
How effective is the flu vaccine?,flu
Does the flu vaccine work the same for everyone?,flu
"Besides vaccination, how can people protect themselves against the flu? ",flu
Vaccine Effectiveness – How Well Does the Flu Vaccine Work?,flu
Are any of the available flu vaccines recommended over the others?,flu
